1000102,0,0,0,0,0,0,0,0,0,0
1000103,0,0,0,0,0,0,0,0,0,0
1000104,8.5,9.8,5.7,5.1,4.6,8.1,4.3,6.7,2.8,4.9
1000105,24.5,26.75,12.25,12.75,10.5,17.0,20.0,19.75,5.25,14.0
1000106,0,0,0,0,0,0,0,0,0,0
1000107,0,0,0,0,0,0,0,0,0,0
1000108,6.8,3.2,1.4,2.7,1.1,2.4,3.3,2.1,0.3,6.0
1000109,0,0,0,0,0,0,0,0,0,0
1000110,0,0,0,0,0,0,0,0,0,0
1000111,0,0,0,0,0,0,0,0,0,0
1000112,0,0,0,0,0,0,0,0,0,0
1000113,0,0,0,0,0,0,0,0,0,0
1000114,0,0,0,0,0,0,0,0,0,0
1000115,0,0,0,0,0,0,0,0,0,0
1000116,0,0,0,0,0,0,0,0,0,0
1000117,0,0,0,0,0,0,0,0,0,0
1000118,0,0,0,0,0,0,0,0,0,0
1000119,0,0,0,0,0,0,0,0,0,0
1000120,0,0,0,0,0,0,0,0,0,0
1000121,11.8,4.8,1.4,9.8,1.3,4.2,7.7,3.5,4.0,8.6
1000122,22.714285714285715,33.42857142857143,22.428571428571427,11.285714285714286,15.142857142857142,17.571428571428573,15.142857142857142,16.714285714285715,10.428571428571429,10.0
1000123,0,0,0,0,0,0,0,0,0,0
1000124,15.1,8.0,3.2,11.7,2.2,4.8,7.4,4.1,2.9,8.3
1000125,35.0,56.7,30.7,25.4,21.7,35.7,19.6,30.1,13.8,24.4
1000126,0,0,0,0,0,0,0,0,0,0
1000127,0,0,0,0,0,0,0,0,0,0
1000128,0,0,0,0,0,0,0,0,0,0
1000130,0,0,0,0,0,0,0,0,0,0
1000131,0,0,0,0,0,0,0,0,0,0
1000132,0,0,0,0,0,0,0,0,0,0
1000133,0,0,0,0,0,0,0,0,0,0
1000134,0,0,0,0,0,0,0,0,0,0
1000135,0,0,0,0,0,0,0,0,0,0
1000136,0,0,0,0,0,0,0,0,0,0
1000137,0,0,0,0,0,0,0,0,0,0
1000138,0,0,0,0,0,0,0,0,0,0
1000139,0,0,0,0,0,0,0,0,0,0
1000141,0,0,0,0,0,0,0,0,0,0
1000142,0,0,0,0,0,0,0,0,0,0
1000143,9.6,11.2,3.4,7.7,3.4,6.3,5.1,7.6,3.8,4.5
1000144,0,0,0,0,0,0,0,0,0,0
1000145,0,0,0,0,0,0,0,0,0,0
1000146,0,0,0,0,0,0,0,0,0,0
1000147,0,0,0,0,0,0,0,0,0,0
1000148,0,0,0,0,0,0,0,0,0,0
1000149,0,0,0,0,0,0,0,0,0,0
1000150,3.6666666666666665,6.0,1.6666666666666667,5.0,2.3333333333333335,4.166666666666667,2.1666666666666665,3.8333333333333335,0.8333333333333334,2.0
1000151,0,0,0,0,0,0,0,0,0,0
1000152,23.0,35.333333333333336,12.444444444444445,13.222222222222221,11.11111111111111,11.666666666666666,10.11111111111111,9.88888888888889,14.555555555555555,14.222222222222221
1000153,0,0,0,0,0,0,0,0,0,0
1000154,0,0,0,0,0,0,0,0,0,0
1000155,0,0,0,0,0,0,0,0,0,0
1000156,0,0,0,0,0,0,0,0,0,0
1000157,23.77777777777778,16.555555555555557,6.555555555555555,8.11111111111111,6.111111111111111,10.666666666666666,12.555555555555555,13.555555555555555,3.3333333333333335,13.222222222222221
1000159,26.0,8.0,5.0,11.0,3.0,6.0,24.0,4.0,4.0,8.0
1000160,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1000161,0,0,0,0,0,0,0,0,0,0
1000163,13.3,8.4,3.6,6.8,3.2,5.4,8.4,5.4,5.3,6.5
1000164,9.5,3.5,2.0,3.0,2.0,2.5,6.5,5.5,2.5,3.0
1000165,8.6,4.6,2.8,6.0,1.6,2.9,5.5,2.0,3.4,5.1
1000166,0,0,0,0,0,0,0,0,0,0
1000167,0,0,0,0,0,0,0,0,0,0
1000168,0,0,0,0,0,0,0,0,0,0
1000169,0,0,0,0,0,0,0,0,0,0
1000170,0,0,0,0,0,0,0,0,0,0
1000171,26.3,31.9,20.2,13.2,15.1,17.2,9.2,13.0,7.6,17.9
1000172,0,0,0,0,0,0,0,0,0,0
1000173,7.3,15.5,8.2,5.8,5.8,11.0,5.0,10.7,3.2,4.9
1000174,0,0,0,0,0,0,0,0,0,0
1000175,0,0,0,0,0,0,0,0,0,0
1000176,0,0,0,0,0,0,0,0,0,0
1000177,13.333333333333334,15.0,6.666666666666667,10.0,5.333333333333333,6.666666666666667,7.333333333333333,6.333333333333333,5.333333333333333,6.333333333333333
1000178,24.1,6.6,2.0,14.3,2.6,5.0,15.5,3.6,4.7,17.5
1000179,0,0,0,0,0,0,0,0,0,0
1000180,0,0,0,0,0,0,0,0,0,0
1000181,0,0,0,0,0,0,0,0,0,0
1000182,16.8,37.2,23.8,10.6,19.2,24.6,8.8,22.4,6.4,12.6
1000183,4.0,4.0,2.0,7.0,2.0,1.0,3.0,3.0,1.0,3.0
1000184,0,0,0,0,0,0,0,0,0,0
1000185,0,0,0,0,0,0,0,0,0,0
1000186,0,0,0,0,0,0,0,0,0,0
1000187,20.571428571428573,63.42857142857143,40.0,17.142857142857142,32.57142857142857,35.714285714285715,12.0,29.857142857142858,14.285714285714286,13.285714285714286
1000188,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000189,0.0,6.0,6.0,3.0,3.0,7.0,0.0,4.0,2.0,2.0
1000190,0,0,0,0,0,0,0,0,0,0
1000191,0,0,0,0,0,0,0,0,0,0
1000192,0,0,0,0,0,0,0,0,0,0
1000193,20.6,13.8,5.6,10.9,4.2,6.9,12.5,6.8,5.6,8.7
1000194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000195,10.7,4.9,1.5,4.8,1.6,2.9,9.3,4.8,2.3,3.4
1000196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000197,0,0,0,0,0,0,0,0,0,0
1000198,0,0,0,0,0,0,0,0,0,0
1000199,8.4,17.6,11.2,5.4,8.9,10.9,5.2,9.1,3.6,3.6
