,Artist,Lyrics_url,Song,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
0,maroon 5,https://genius.com/Maroon-5-animals-lyrics,animals,0,0,0,0,0,0,0,0,0,0
1,maroon 5,https://genius.com/Maroon-5-one-more-night-lyrics,one more night,0,0,0,0,0,0,0,0,0,0
2,sean paul,https://genius.com/Sean-paul-temperature-lyrics,temperature,0,0,0,0,0,0,0,0,0,0
3,drake,https://genius.com/Drake-headlines-lyrics,Headlines,0,0,0,0,0,0,0,0,0,0
4,junior boys,https://genius.com/Junior-boys-banana-ripple-lyrics,Banana Ripple,0,0,0,0,0,0,0,0,0,0
5,junior boys,https://genius.com/Junior-boys-caught-in-a-wave-lyrics,Caught In A Wave,0,0,0,0,0,0,0,0,0,0
6,junior boys,https://genius.com/Junior-boys-first-time-lyrics,First Time,0,0,0,0,0,0,0,0,0,0
7,beach house,https://genius.com/Beach-house-days-of-candy-lyrics,Days of Candy,0,0,0,0,0,0,0,0,0,0
8,beach house,https://genius.com/Beach-house-wild-lyrics,Wild,0,0,0,0,0,0,0,0,0,0
9,beach house,https://genius.com/Beach-house-10-37-lyrics,10:37,0,0,0,0,0,0,0,0,0,0
10,childish gambino,https://genius.com/Childish-gambino-sober-lyrics,Sober,0,0,0,0,0,0,0,0,0,0
11,childish gambino,https://genius.com/Childish-gambino-me-and-your-mama-lyrics,Me and Your Mama,0,0,0,0,0,0,0,0,0,0
12,childish gambino,https://genius.com/Childish-gambino-ii-zealots-of-stockholm-free-information-lyrics,II. Zealots of Stockholm [Free Information],0,0,0,0,0,0,0,0,0,0
13,future,https://genius.com/Future-mask-off-lyrics,Mask Off,0,0,0,0,0,0,0,0,0,0
14,future,https://genius.com/Drake-and-future-jumpman-lyrics,Jumpman,0,0,0,0,0,0,0,0,0,0
15,future,https://genius.com/Jay-rock-kendrick-lamar-future-and-james-blake-kings-dead-lyrics,Kingâ€™s Dead,0,0,0,0,0,0,0,0,0,0
